Brand,Size,Flavor,Rating,Price,CALORIES,TOTAL FAT,CHOLESTEROL,SODIUM,TOTAL CARBOHYDRATE,PROTEIN,CALCIUM,POTASSIUM,DIETARY FIBER,IRON,TOTAL SUGARS,VITAMIN D,VITAMIN D 0MCG,PHOSPHORUS,MAGNESIUM,VITAMIN C (AS ASCORBIC ACID),VITAMIN D (AS CHOLECALCIFEROL),NIACIN (AS NIACINAMIDE),VITAMIN B6 (AS PYRIDOXINE HYDROCHLORIDE),VITAMIN B12 (AS CYANOCOBALAMIN),NIACIN,BIOTIN,FOLATE
Grenade,1 - 60g Bar,Chocolate Cream,9.1,$2.39,210,8 g,10 mg,170 mg,20 g,23 g,0,70 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenade,1 - 60g Bar,Peanut Nutter,9.1,$2.39,220,9 g,5 mg,135 mg,22 g,21 g,0,75 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenade,1 - 60g Bar,White Chocolate Cookie,9.1,$2.39,220,8 g,5 mg,150 mg,21 g,22 g,0,75 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenade,12 - 60g Bars,Birthday Cake,9.1,$22.49,220,10 g,5 mg,60 mg,20 g,20 g,80 mg,140 mg,0,0 mg,0,.2 mcg,0,0,0,0,0,0,0,0,0,0,0
Grenade,12 - 60g Bars,Caramel Chaos,9.1,$22.49,220,8 g,5 mg,170 mg,20 g,23 g,0,35 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenade,12 - 60g Bars,Chocolate Chip Cookie Dough,9.1,$22.49,220,9 g,5 mg,135 mg,24 g,20 g,0,100 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenade,12 - 60g Bars,Chocolate Cream,9.1,$22.49,210,8 g,10 mg,170 mg,20 g,23 g,0,70 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenade,12 - 60g Bars,Peanut Nutter,9.1,$22.49,220,9 g,5 mg,135 mg,22 g,21 g,0,75 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenade,12 - 60g Bars,White Chocolate Cookie,9.1,$22.49,220,8 g,5 mg,150 mg,21 g,22 g,0,75 mg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenade,12 - 60g Bars,White Chocolate Salted Peanut,9.1,$22.49,240,12 g,5 mg,0 mg,22 g,20 g,90 mg,130 mg,0,0 mg,0,.3 mcg,0,0,0,0,0,0,0,0,0,0,0
ONE,12 - 60g Bars,Almond Bliss,9.4,$28.99,230,9 g,10 mg,125 mg,22 g,20 g,82 mg,74 mg,0,0 mg,0,0 mcg,0,56 mg,0,0,0,0,0,0,0,0,0
ONE,12 - 60g Bars,Birthday Cake,9.4,$28.99,210,7 g,5 mg,140 mg,22 g,20 g,96 mg,83 mg,0,0 mg,0,0 mcg,0,58 mg,0,0,0,0,0,0,0,0,0
ONE,12 - 60g Bars,Blueberry Cobbler,9.4,$28.99,220,8 g,5 mg,105 mg,24 g,20 g,79 mg,74 mg,0,0 mg,0,0 mcg,0,55 mg,0,0,0,0,0,0,0,0,0
ONE,12 - 60g Bars,Chocolate Brownie,9.4,$28.99,220,8 g,10 mg,130 mg,24 g,20 g,67 mg,126 mg,0,1 mg,0,0 mcg,0,64 mg,0,0,0,0,0,0,0,0,0
ONE,12 - 60g Bars,Chocolate Chip Cookie Dough,9.4,$28.99,220,8 g,10 mg,125 mg,24 g,20 g,59 mg,105 mg,0,1 mg,0,0 mcg,0,66 mg,0,0,0,0,0,0,0,0,0
ONE,12 - 60g Bars,Cinnamon Roll,9.4,$28.99,230,9 g,5 mg,140 mg,24 g,20 g,102 mg,83 mg,0,0 mg,0,0 mcg,0,55 mg,0,0,0,0,0,0,0,0,0
ONE,12 - 60g Bars,Cookies & Creme,9.4,$28.99,220,8 g,5 mg,135 mg,23 g,20 g,91 mg,98 mg,0,0 mg,0,0 mcg,0,59 mg,0,0,0,0,0,0,0,0,0
